"﻿""Title""",Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"NIKE Children's Apparel Baby Ankle Gripper Socks (3 Pairs), Red/White/Blue, 12/24M",30839,32553,$17.00 ,26,$17.00 ,$76.79 ,$21.62 ,A2BJMCJIG5VLMZ,2,B07NH2V5LB,0009328014324,009328014324,B0CLT1JR73,Nike,no
"Nike Jordan Baby Assorted Bodysuits 3 Pack (Rush Pink(56E779-A4Y)/Red, 3 Months)",157579,130504,$31.50 ,1,$31.50 ,$60.00 ,$31.50 ,A3DRRAQ1SA8CQE,2,B07Z522785,0009328432609,009328432609,B0826FF4M4,Nike,no
"NIKE Children's Apparel Boys' Little Dri-FIT Trophy Shorts, Volt, 4",104788,3297346,,,$38.73 ,$53.24 ,$36.00 ,AF4GO035LHAA2,1,B07NH4GHJ8,0009328686439,009328686439,B0CRYKSTJX,Nike,no
"Stainless Steel Polish & Cleaner Water Based, Champion Sprayon 17.5 oz Can, Box of 3",241773,253506,$36.49 ,7,$36.49 ,$39.95 ,$36.93 ,"AVMD6N1C1FYNB, A880U66MZ12FI",3,B07K672D56,0010228351532,010228351532,B07K666R36,Champion,no
"Stainless Steel Polish & Cleaner Water Based, Champion Sprayon 17.5 oz Can, Box of 12",255494,255413,$75.49 ,4,$75.49 ,$76.76 ,$75.81 ,A24A74MUCOH2R2,4,B07K66DY5Z,0010228351532,010228351532,B07K666R36,Champion,no
"Glass Cleaner Vista Cleer Without Ammonia, Champion Sprayon, 20 oz Can, Box of 3",104350,114939,$24.49 ,5,$20.50 ,$53.59 ,$20.50 ,A2AUGB6PX1UPPG,4,B07K65JB7B,0010228351556,010228351556,B07K65FRY9,Champion,no
"Glass Cleaner Vista Cleer Without Ammonia, Champion Sprayon, 20 oz Can, Box of 12",103264,115222,$46.90 ,28,$46.90 ,$70.86 ,$46.67 ,"A2I5QD0ZGO10X0, A24H5X3N6POBOW",12,B07K652LKS,0010228351556,010228351556,B07K65FRY9,Champion,no
Mulberry Metered Aerosol Refill - Case of 12,373090,396691,$76.39 ,25,$71.36 ,$110.84 ,$67.35 ,-,7,B00F3FLURE,0010228351693,010228351693,,Champion,no
"Champion 5189 Sprayon SprayScents, Lemon Drop, 7 oz Aerosol (Pack of 12)",169801,202343,$64.45 ,4,$64.45 ,$95.82 ,$64.45 ,"A2I5QD0ZGO10X0, AO9U65LQZY6OC",22,B00RVXV2EC,0010228351891,010228351891,,Champion,no
"Stainless Steel Cleaner, Oil-Based Champion Sprayon 16 oz Can, Box of 3",207099,217494,$36.98 ,10,$36.98 ,$81.71 ,$36.98 ,"A880U66MZ12FI, A34J4PT5Q9TI5R",3,B07K6569HF,0010228351976,010228351976,B07K66DQPR,Champion,no
"Speedo Unisex-Adult Parka Jacket Fleece Lined Team Colors, Navy/Grey, Small",26732,18890,$114.56 ,4,$114.56 ,$189.99 ,$99.24 ,A218NCVVSLQN1Q,1,B00YT3KRFM,0011527031767,011527031767,B0CJT1DFYH,Speedo,no
Speedo 8719092500124 LZR Pro Fl Recordbreaker Comfort Strap SPEEDO Black 24,290649,200635,,,$209.99 ,$315.00 ,$207.43 ,-,3,B00YT3IMPO,0011527037172,011527037172,B0CGYW9YHM,Speedo,no
Speedo 8719092500126 LZR Pro Fl Recordbreaker Comfort Strap SPEEDO Black 26,506469,270573,,,$193.69 ,$282.25 ,$192.48 ,-,2,B00YT3IJO8,0011527037189,011527037189,,Speedo,no
"Speedo Girls Polyester Aquablade Female Recordbreaker Tech Suit Swimsuit - True Green 20, True Green, 20 YTH US",288517,199342,,,,$109.80 ,$53.12 ,-,,B00XM4ID7S,0011527043739,011527043739,B0CGYW9YHM,Speedo,no
Speedo 871903931022 YTH Female Aquablade Recordbreaker-Youth True Green 22 YTH,300480,209782,,,,$106.80 ,$57.79 ,-,,B00XM4HWHU,0011527043746,011527043746,B0CGYW9YHM,Speedo,no
Speedo Aquablade Female Recordbreaker Tech Suit Swimsuit - Electric Purple - 20,285441,202195,,,,$176.06 ,$57.89 ,-,,B00XM4I3L4,0011527043807,011527043807,B0CGYW9YHM,Speedo,no
Speedo Kids Girls Aquablade Recordbreaker (Youth) Purple 28 YTH,300025,204130,,7,$89.00 ,$89.10 ,$53.12 ,-,1,B00XM4I62K,0011527043845,011527043845,B0CGYW9YHM,Speedo,no
Speedo 871904031034 Female Aquablade Recordbreaker-Adult True Green 34,232879,194821,$63.58 ,10,$63.58 ,$109.80 ,$63.58 ,A3V1BO3WFJIOCU,4,B00XM4LQ40,0011527043944,011527043944,B002YX0M18,Speedo,no
Speedo Aquablade Female Recordbreaker Tech Suit Swimsuit - US Red - 32,239163,195530,$63.58 ,13,$60.71 ,$109.80 ,$63.58 ,A3V1BO3WFJIOCU,3,B00XM4LEII,0011527044033,011527044033,B002YX0M18,Speedo,no
"Speedo Men's Swimsuit Brief PowerFlex Eco Revolve Splice Team Colors , Speedo Maroon, 22",498054,450149,$35.53 ,1,$30.58 ,$44.00 ,$35.53 ,A3V1BO3WFJIOCU,1,B015ENJEU4,0011527048901,011527048901,B0CMJ9Z96K,Speedo,no
Speedo Men's Swimsuit Jammer Endurance+ Amplified Pulse - Manufacturer Discontinued,873826,1211707,$26.90 ,1,$21.95 ,$65.00 ,$26.90 ,A3V1BO3WFJIOCU,1,B06Y16MRBD,0011527105611,011527105611,B06Y1KRDK8,Speedo,no
