Title,Buy Box: Current,Amazon: Current,New: Current,New: Highest,"New, 3rd Party FBM 🚚: Current",eBay Used 🚚: Current,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC
Champion Adult 5.2 oz. Raglan T-Shirt M OX GR HT/ CH HTH,$16.99 ,,$12.95 ,$16.99 ,$17.94 ,,1,B01MR2BM73,090563967643,090563967643
"Champion Women's Distance Underwire 2.0 Sports Bra, White, 40/42C/D",$42.95 ,,$42.95 ,$48.00 ,,,0,B01MRSO1QF,090563863549,090563863549
"Champion mens Classic Jersey Tee Shirt, Team Gold, XX-Large US",$14.00 ,$14.00 ,$14.00 ,$20.00 ,$19.95 ,,1,B01N4AMVGH,090563857432,090563857432
"Champion mens Classic Jersey Tee Shirt, Team Gold, Medium US",$14.00 ,$14.00 ,$14.00 ,$30.50 ,,,0,B01MRU5DIN,090563857401,090563857401
"Champion 9"" Inseam Cotton Jersey Shorts with Pockets S Black",$17.14 ,,$17.14 ,$18.64 ,$17.14 ,,8,B079DZHMZ5,090563857081,090563857081
"Champion mens Everyday Cotton Closed Bottom Pants, Black, 4X-Large US",$29.74 ,$29.74 ,$29.74 ,$30.00 ,$29.74 ,,1,B01NAN9JHL,090563852871,090563852871
"Champion Men's Hoodie, Powerblend, Fleece Striped Sweatshirt for Men (Reg. or Big & Tall)",,,,$55.51 ,,,,B0788Z31TQ,090563848928,090563848928
"Champion mens Champion Men's Classic Jersey Ringer Tee Shirt, Navy/Oxford Gray Heather, Small US",$14.99 ,,$14.99 ,$30.00 ,$14.99 ,,1,B01NCHWSOK,090563809547,090563809547
"Champion mens Classic Jersey Tee Shirt, White, 3X-Large US",,,,$24.99 ,,,,B01N7EXNK1,090563786596,090563786596
"Champion mens Classic Jersey Tee Shirt, White, X-Large US",$14.00 ,$14.00 ,,$24.95 ,$19.00 ,,1,B01MRU5D56,090563786572,090563786572
"Champion Mens Classic T-shirt, Everyday Tee For Men, Comfortable Soft (Reg. Or Big & Tall), Scarlet, Medium US",,,,$24.95 ,,,0,B01MYWGRRP,090563786459,090563786459
"Champion mens Classic Jersey Tee Shirt, Scarlet, Small US",$14.00 ,$14.00 ,$14.00 ,$58.50 ,,,0,B01N2QM0GT,090563786442,090563786442
"Champion mens Classic Jersey Tee Shirt, Oxford Gray, 3X-Large US",$24.95 ,,$24.95 ,$30.00 ,$24.95 ,,1,B01N2QM04Q,090563786428,090563786428
"Champion Mens Classic T-shirt, Everyday Tee For Men, Comfortable Soft (Reg. Or Big & Tall), Maroon, Large US",$20.00 ,$20.00 ,$20.00 ,$24.95 ,,,0,B01MRU5DAZ,090563786275,090563786275
"Champion mens Classic Jersey Tee Shirt, Granite Heather, 4X-Large US",,,,$36.41 ,,,,B01NBHBFH7,090563786244,090563786244
"Champion, Reverse Weave, Heavyweight Fleece Sweatpants for Men, 30"", Black C Logo, X-Large",$56.99 ,,$56.99 ,$56.99 ,,,1,B0746SGMD5,090563662579,090563662579
"Champion, Reverse Weave, Heavyweight Fleece Sweatpants for Men, 30"", Black C Logo, Large",,,,$96.05 ,,,,B0746S1Y4X,090563662562,090563662562
"Champion, Reverse Weave, Heavyweight Fleece Sweatpants for Men, 30"", Black C Logo, Small",$59.99 ,,$59.99 ,$59.99 ,$59.99 ,,1,B0746RPQPG,090563662548,090563662548
"Champion Men's Zip-Up Hoodie, Powerblend, Zip-Up Hoodie Sweatshirt for Men (Reg. or Big & Tall)",,,,$55.00 ,,,,B01I8JM18I,090563584413,090563584413
"Champion Men's Zip-Up Hoodie, Powerblend, Zip-Up Hoodie Sweatshirt for Men (Reg. or Big & Tall)",$30.00 ,$33.00 ,$30.00 ,$55.00 ,$30.00 ,,1,B01I8JLY22,090563584277,090563584277
"Champion Mens Hoodie, Powerblend, Fleece Comfortable For (Reg. Big & Tall) Sports-fan-sweatshirts, Granite Heather C Logo, 3X-Large US",,,,$50.38 ,,,,B01I8JLUUS,090563584239,090563584239
"Champion mens Reverse Weave Crew Sweatshirt, White, Large US",$49.18 ,,$49.18 ,$76.28 ,,,1,B01MZ0P13E,090563534401,090563534401
"Champion Men's Reverse Weave Pullover Hoodie, Seabottom Blue, L",$59.95 ,,$59.95 ,$63.24 ,$59.95 ,,1,B01KX0R1AI,090563534272,090563534272
"Champion, Lightweight Lounge, Comfortable Jersey Pants for Women, 31.5"" Size Available, Black, 2X Plus",$29.95 ,,$29.95 ,$30.00 ,$29.95 ,,1,B01H5MKSVG,090563502707,090563502707
"Champion Men's Powerblend Fleece Crew, C Logo (Retired Colors)",,,$81.33 ,$82.33 ,,,1,B01I8JME08,090563462704,090563462704
"Champion Men's Reverse Weave Crew, Gfs Silver/Grey, XL",$47.36 ,,$47.20 ,$55.95 ,$47.20 ,,4,B01L1KDKQS,090563329717,090563329717
"Champion Men's Reverse Weave Sweatshirt, Oxford Gray-GF70, L",$45.06 ,,$42.94 ,$56.10 ,,,3,B01L1KCNXO,090563329403,090563329403
"Champion Men's Reverse Weave Pullover Hoodie, Team Red Scarlet, 2XL",$69.99 ,,$69.99 ,$69.99 ,$69.99 ,,1,B01KX0R5S6,090563328888,090563328888
"Champion Men's Reverse Weave Pullover Hoodie, Navy, XL",,,$64.94 ,$69.00 ,$64.94 ,,2,B01KX0R374,090563328574,090563328574
"Champion Men's Reverse Weave Pullover Hoodie, Navy, L",,,$64.99 ,$67.99 ,$64.99 ,,3,B01KX0R5MC,090563328567,090563328567
"Champion mens Reverse Weave Pullover Hoody, Navy, Medium US",,,$64.95 ,$74.69 ,$64.95 ,,1,B01KX0R39C,090563328550,090563328550
"Champion Men's Reverse Weave Pullover, Dark Green, X-Large",$59.99 ,,$59.99 ,$69.00 ,$59.99 ,,1,B01KX0R7JS,090563328451,090563328451
"Champion Men's Reverse Weave Pullover, Black, 3X-Large",$74.95 ,,$74.95 ,$114.24 ,$74.95 ,,1,B01KX0QYSS,090563328413,090563328413
"Champion Men's Sweatpants, Powerblend, Fleece, Open-Bottom Sweatpants (Reg. or Big & Tall)",,,,$51.75 ,$31.99 ,,5,B01IE1NTFY,090563296231,090563296231
"Champion Men's Sweatpants, Powerblend, Fleece, Open-Bottom Sweatpants (Reg. or Big & Tall)",$22.50 ,$22.50 ,$22.50 ,$46.99 ,$31.99 ,,3,B01IE1OY5S,090563296217,090563296217
"Champion Men's Sweatpants, Powerblend, Fleece, Open-Bottom Sweatpants (Reg. or Big & Tall)",$31.50 ,$31.50 ,$31.50 ,$45.00 ,$49.95 ,,1,B01IE1ONRW,090563296132,090563296132
"Champion Men's Hoodie, Powerblend, Fleece Striped Sweatshirt for Men (Reg. or Big & Tall)",,,,$59.20 ,,,,B01HIUTINY,090563293124,090563293124
"Champion Men's Zip-Up Hoodie, Powerblend, Zip-Up Hoodie Sweatshirt for Men (Reg. or Big & Tall)",$33.00 ,$33.00 ,,$55.00 ,,,0,B01HIUTKV4,090563291083,090563291083
"Champion Men's Front Pocket Pullover Hoodie Sweatshirt, Large, Red",$45.96 ,,$45.96 ,$45.96 ,$45.96 ,,1,B01LZBOW7I,090563290659,090563290659
"Champion Women's Pants, Powerblend, Fleece Pants, Comfortable Lounge Pants for Women",$42.00 ,$42.00 ,$42.00 ,$49.95 ,,,1,B01H3YJKI8,090563282289,090563282289
"Champion mens 9"" Shorts, Mesh Shorts, 9"", Mesh Basketball Shorts, Mesh Gym Shorts, Team Gold-407q88, X-Small US",$18.95 ,,$18.95 ,$25.00 ,$18.95 ,,1,B07TVK9VN8,090563166909,090563166909
"Champion Women's Mesh Short, Athletic Dark Green, XX-Large",$10.27 ,,$10.27 ,$18.99 ,,,1,B015MXTWI0,090563117666,090563117666
"Champion Men's Front Pocket Pullover Hoodie Sweatshirt, Large, Navy",$28.62 ,,$28.62 ,$39.95 ,$28.52 ,,9,B01M19XRFA,090563099528,090563099528
Champion Men's Basic Short Sleeve Tee Shirt_White_L,$10.95 ,,$10.95 ,$15.15 ,$10.95 ,,5,B06ZXW5FR8,080608666662,080608666662
Champion Men's Basic Short Sleeve Tee Shirt_Royal Blue_3XL,$15.95 ,,$15.95 ,$19.95 ,,,5,B071R1VRFM,080593666661,080593666661
Champion Men's Basic Short Sleeve Tee Shirt_Light Steel_XL,$11.02 ,,$11.02 ,$17.39 ,,,6,B06ZYG48KH,080568666665,080568666665
Champion Men's Basic Short Sleeve Tee Shirt_Black_2XL,,,$12.22 ,$17.92 ,,,5,B071DD8VXK,080549666660,080549666660
Champion Men's Raglan Baseball T-Shirt_White/Scarlet_L,$17.92 ,,$17.92 ,$26.09 ,$17.92 ,,5,B071YBNWM8,080414666665,080414666665
"Champion 5.2 oz. Raglan Baseball T-Shirt (T1397) White/Navy, L",$19.47 ,,$19.47 ,$26.51 ,,,3,B06ZYG47KN,080407666665,080407666665
"Champion 5.2 oz. Raglan Baseball T-Shirt (T1397) White/Dark Green, 3XL",$17.18 ,,$17.18 ,$29.86 ,,,4,B071YCH5X3,080398666668,080398666668
"Champion 5.2 oz. Raglan Baseball T-Shirt (T1397) White/Dark Green, M",$15.08 ,,$15.08 ,$23.64 ,,,3,B071CJPZLV,080394666662,080394666662
"Champion 5.2 oz. Raglan Baseball T-Shirt (T1397) Oxford Grey/Navy, S",$8.89 ,,$8.89 ,$21.78 ,,,3,B071RBDR1R,080361666664,080361666664
Champion Men's Double Dry Action Fleece Pullover Hood_White_M,$29.47 ,,$29.47 ,$35.48 ,$29.47 ,,6,B06ZZLNK5F,079648666664,079648666664
Champion Double Dry Men`s Action Fleece Pullover Hood Black,$32.80 ,,$32.75 ,$41.02 ,$29.99 ,,11,B06ZZW3147,079541666662,079541666662
"Eco 9 oz. Pullover Hood (S700) Black, L",$29.47 ,,$29.47 ,$43.68 ,$29.47 ,,10,B06ZYG47NZ,079538666668,079538666668
Champion Men's Reverse Weave Fleece Pant_Silver Gray_L,$44.22 ,,$44.22 ,$54.16 ,,,6,B071RBDSVH,078853666667,078853666667
Champion Reverse Weave® Crewneck Sweatshirt 2XL Team Navy,,,$58.48 ,$71.81 ,$58.48 ,,2,B015U0RIRC,078715995522,078715995522
Champion Adult Reverse Weave® 12 oz. Crew 3XL SPORT MAROON,$45.51 ,,$45.51 ,$55.98 ,$44.29 ,,10,B015U0R214,078715995478,078715995478
Champion Men's Reverse Weave Crew XL Cardinal,$45.37 ,,$45.37 ,$49.98 ,$45.40 ,,12,B015U0QS8M,078715995454,078715995454
Champion Adult Reverse Weave 12 oz. Crew L SPORT MAROON,$46.99 ,,$45.14 ,$49.98 ,$44.29 ,,9,B015U0QOXG,078715995447,078715995447
Champion Men's Reverse Weave Crew M Cardinal,$47.31 ,,$45.29 ,$56.30 ,$44.29 ,,10,B015U0QLMA,078715995430,078715995430
Champion Men's Reverse Weave Crew S Cardinal,$39.36 ,,$39.36 ,$49.98 ,$39.36 ,,9,B015U0QIKU,078715995423,078715995423
Champion Reverse Weave® Hooded Pullover Sweatshirt XL Team Navy,$36.99 ,,$36.99 ,$62.95 ,,,6,B016C80JKO,078715995218,078715995218
"Champion Men's Cotton Long Sleeve Tee, surf The Web, X-Large",$19.95 ,,$19.95 ,$25.00 ,,,1,B00X1VUMKI,078715975876,078715975876
"Champion Men's Cotton Long Sleeve Tee, Team red Scarlet, Medium",$19.95 ,,$19.95 ,$29.99 ,,,1,B01KTL2214,078715955946,078715955946
Champion Mens Reverse Weave Pant(RW10)-Oxford Gray-3XL,$49.34 ,,$49.34 ,$59.93 ,,,12,B00KUL12PQ,078715947576,078715947576
"Champion Men's Reverse Weave Left Chest C Pullover, White, X-Large",$60.00 ,,$60.00 ,$60.00 ,$60.00 ,,2,B0746RGRC2,078715789930,078715789930
"Champion, Sport Tee, Moisture Wicking, Anti Odor, Athletic T-Shirt for Men (Reg. or Big & Tall), Navy, XX-Large",,,,$40.90 ,,,0,B01I8JLIM8,078715687168,078715687168
"Champion, Sport Tee, Moisture Wicking, Anti Odor, Athletic T-Shirt for Men (Reg. or Big & Tall), Navy, Small",$17.50 ,$17.50 ,,$46.93 ,$35.54 ,,1,B01I8JLDP0,078715687120,078715687120
"Champion, Sport Tee, Moisture Wicking, Anti Odor, Athletic T-Shirt for Men (Reg. or Big & Tall), Maroon, XX-Large",,,$27.55 ,$40.90 ,,,1,B01I8JLCKQ,078715687113,078715687113
"Champion, Sport Tee, Moisture Wicking, Anti Odor, Athletic T-Shirt for Men (Reg. or Big & Tall), Maroon, Large",,,,$33.02 ,,,,B01I8JLA8K,078715687090,078715687090
"Champion, Sport Tee, Moisture Wicking, Anti Odor, Athletic T-Shirt for Men (Reg. or Big & Tall), Dark Green, Small",$17.50 ,$17.50 ,$17.50 ,$40.90 ,,,0,B0743GGK1R,078715686925,078715686925
Champion Essential Double Dry Tee,$19.99 ,,$19.99 ,$19.99 ,,,5,B00W5U1WG4,078715534912,078715534912
Champion mens Cotton Max 9.7 oz. Pullover Hood - Small - Ath Htr/Sp Dk Nv,$43.80 ,,$43.80 ,$60.87 ,,,6,B00R9POOBU,078715518721,078715518721
Sprint 1/4 Zip Jacket,$19.95 ,,$19.95 ,$84.14 ,,,1,B016AS81OC,078715517298,078715517298
"Champion Men's Double Dry Action Fleece Pullover Hood, Navy Heather, XX-Large",$35.52 ,,$35.52 ,$42.78 ,$35.52 ,,10,B00I2ZDZ7A,078715193133,078715193133
Champion Double Dry Action Fleece Crew,$19.98 ,,$19.95 ,$36.25 ,,,14,B00I2ZCX2I,078715193003,078715193003
Champion Double Dry Action Fleece Crew,$23.99 ,,$23.89 ,$49.95 ,,,10,B00I2ZCVBQ,078715192983,078715192983
Champion Double Dry Action Fleece Crew,,,$20.95 ,$29.98 ,,,7,B00I2ZCTFY,078715192952,078715192952
Champion Double Dry Action Fleece Crew,,,$22.99 ,$29.99 ,,,7,B00I2ZCROM,078715192938,078715192938
Champion Double Dry Action Fleece Crew,$25.93 ,,$25.93 ,$28.98 ,,,4,B00I2ZD138,078715192907,078715192907
Champion Double Dry Action Fleece Crew,$25.00 ,,$24.90 ,$28.63 ,,,7,B00I2ZDAH0,078715192617,078715192617
Champion Classic Jersey Open Bottom Pants Oxford Gray XL 32.5,,,$35.99 ,$60.81 ,,,1,B00W5TOJ92,078715159955,078715159955
"Champion, Lightweight Lounge, Soft Jersey Comfortable Shorts for Women (Plus Size Available), Oxford Gray, Medium",$15.00 ,$15.00 ,$15.00 ,$24.77 ,$19.63 ,,1,B00HWFCLBM,078715156473,078715156473
"Champion Women's Middleweight Oversized Graphic Crew, Oxford Gray, X-Large",$29.50 ,,$29.50 ,$55.98 ,,,1,B08CBGH5XT,077478995800,077478995800
"Champion womens Cropped Reverse Weave Po Hood Sweatshirt, Ice Fall, Large US",$45.00 ,,$35.00 ,$92.27 ,$45.00 ,,3,B08F8MJ6G6,077478994964,077478994964
"Champion womens Cropped Reverse Weave Po Hood Sweatshirt, Black-586389, Large US",$45.00 ,,$35.00 ,$99.08 ,$45.00 ,,3,B08F83KFNF,077478994841,077478994841
"Champion, Heritage Bralette for Women, Moisture-Wicking, Cotton Stretch, Multi Scattered Logos White, X-Large",$9.99 ,,$9.99 ,$30.00 ,,,1,B093C9V87J,077478980936,077478980936
