Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,New: Highest,Buy Bo : Current,Buy Box 🚚: Current,Unnamed: 13,Black_list,PID
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 9",283423,283423,,,121.14,,,A1195MQ583AB5O,1.0,B0C5S582GH,197369613719,197369613719.0,B0CYLZYHCZ,Steve Madden,,GB197369613719,https://www.google.com/search?q=197369613719+Steve+Madden+Women%27s+Hadyn+Sandal%2C+Light+Green+Leather%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B0C5S582GH?psc=1,"https://www.google.com/shopping/product/428968790038274369/offers?q=197369613719&prds=cid:428968790038274369,cond:1",Zappos.com,69.95,118.92,132.21,120.14,Y,,,$121.14,no,,,$121.14,,,,Y,none
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 7.5",324871,324871,,,121.14,,,A1195MQ583AB5O,1.0,B0C5S4PZ94,197369613658,197369613658.0,B0CYLZYHCZ,Steve Madden,,GB197369613658,https://www.google.com/search?q=197369613658+Steve+Madden+Women%27s+Hadyn+Sandal%2C+Light+Green+Leather%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0C5S4PZ94?psc=1,"https://www.google.com/shopping/product/7262752575592804270/offers?q=197369613658&prds=cid:7262752575592804270,cond:1",Zappos.com,69.95,118.92,132.21,120.14,Y,,,$121.14,no,,,$121.14,,,,Y,none
"Sneakers, turquoise, 8.5 US",4655,4074,176.27,3.0,176.27,,,A35T3I43XUSHP7,1.0,B0C6CFW9VZ,196361819136,196361819136.0,B0CFG8SG2Z,Steve Madden,,GB196361819136,https://www.google.com/search?q=196361819136+Sneakers%2C+turquoise%2C+8.5+US&tbm=shop,Y,https://www.amazon.com/dp/B0C6CFW9VZ?psc=1,"https://www.google.com/shopping/product/7934772901310052528/offers?q=196361819136&prds=cid:7934772901310052528,cond:1",Walmart,49.98,84.97,94.46,175.27,Y,,,$176.27,no,,,$179.47,,,,Y,none
"Steve Madden Women's BIGMONA Sandal, Natural Raffia, 5.5",904650,904650,99.95,5.0,99.95,,,-,0.0,B0CV4JNW9M,197369873175,197369873175.0,B0CGTLPHB3,Steve Madden,,GB197369873175,https://www.google.com/search?q=197369873175+Steve+Madden+Women%27s+BIGMONA+Sandal%2C+Natural+Raffia%2C+5.5&tbm=shop,Y,https://www.amazon.com/dp/B0CV4JNW9M?psc=1,"https://www.google.com/shopping/product/15929131312521874506/offers?q=197369873175&prds=cid:15929131312521874506,cond:1",Steve Madden,44.97,76.45,84.99,98.95,Y,,,,yes,,,$99.95,,,,Y,none
"Steve Madden Women's BIGMONA Sandal, Natural Raffia, 6.5",20519,162358,99.95,,99.95,,,"A2WU6JHR5PVKH1, A1LEM297LNF1FK",4.0,B0CGSNJCWW,197369873212,197369873212.0,B0CGTLPHB3,Steve Madden,,GB197369873212,https://www.google.com/search?q=197369873212+Steve+Madden+Women%27s+BIGMONA+Sandal%2C+Natural+Raffia%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B0CGSNJCWW?psc=1,"https://www.google.com/shopping/product/15929131312521874506/offers?q=197369873212&prds=cid:15929131312521874506,cond:1",Steve Madden,44.97,76.45,84.99,98.95,Y,,,$99.95,yes,,,$99.95,,,,Y,none
"Steve Madden Women's BIGMONA Sandal, Natural Raffia, 9.5",20205,92867,99.95,90.0,99.0,,,"A1EICGAHOS3FI3, A2WU6JHR5PVKH1, A1LEM297LNF1FK",5.0,B0CGSXZGZ2,197369873304,197369873304.0,B0CGTLPHB3,Steve Madden,,GB197369873304,https://www.google.com/search?q=197369873304+Steve+Madden+Women%27s+BIGMONA+Sandal%2C+Natural+Raffia%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B0CGSXZGZ2?psc=1,"https://www.google.com/shopping/product/15929131312521874506/offers?q=197369873304&prds=cid:15929131312521874506,cond:1",Steve Madden,44.97,76.45,84.99,98.95,Y,,,$99.95,yes,,,$99.95,,,,Y,none
"Steve Madden Women's Starling Sneaker, Black/White Leopard, 6 M US",16692,13120,75.96,12.0,75.96,,,-,0.0,B0B643QCVV,196829272084,196829272084.0,B0C62Q82KM,Steve Madden,,GB196829272084,https://www.google.com/search?q=196829272084+Steve+Madden+Women%27s+Starling+Sneaker%2C+Black%2FWhite+Leopard%2C+6+M+US&tbm=shop,Y,https://www.amazon.com/dp/B0B643QCVV?psc=1,"https://www.google.com/shopping/product/7297169127185202676/offers?q=196829272084&prds=cid:7297169127185202676,cond:1","Walmart - BHFO, Inc.",36.99,62.88,69.91,74.96,Y,,,,yes,,,$83.95,,,,Y,none
"Steve Madden Women's Graya Flat, Black Patent, 7.5",69159,129100,119.0,,119.0,,,A1LEM297LNF1FK,2.0,B0CKY3K7XF,198024156114,198024156114.0,B0CKYDHZ5K,Steve Madden,,GB198024156114,https://www.google.com/search?q=198024156114+Steve+Madden+Women%27s+Graya+Flat%2C+Black+Patent%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0CKY3K7XF?psc=1,"https://www.google.com/shopping/product/16891944014261636128/offers?q=198024156114&prds=cid:16891944014261636128,cond:1",Belk,65.3,111.01,123.42,118.0,Y,,,$122.48,yes,,,$119.00,,,,Y,none
"Steve Madden Women's Charlie Sneaker, White Rhinestone, 11",38446,37411,79.95,33.0,79.95,,,-,0.0,B097NNSKBZ,195945410929,195945410929.0,B0CW2324TY,Steve Madden,,GB195945410929,https://www.google.com/search?q=195945410929+Steve+Madden+Women%27s+Charlie+Sneaker%2C+White+Rhinestone%2C+11&tbm=shop,Y,https://www.amazon.com/dp/B097NNSKBZ?psc=1,"https://www.google.com/shopping/product/13482663599171589136/offers?q=195945410929&prds=cid:13482663599171589136,cond:1",Steve Madden,41.48,70.52,78.4,78.95,Y,,,,yes,,,$79.95,,,,Y,none
"Steve Madden Women's Belinda Pump, Champagne Rhinestone, 5.5",47367,51042,,,,,,-,,B0C5KPTWZQ,197369572313,197369572313.0,B0BPMRMBBF,Steve Madden,,GB197369572313,https://www.google.com/search?q=197369572313+Steve+Madden+Women%27s+Belinda+Pump%2C+Champagne+Rhinestone%2C+5.5&tbm=shop,Y,https://www.amazon.com/dp/B0C5KPTWZQ?psc=1,"https://www.google.com/shopping/product/8600113799652829970/offers?q=197369572313&prds=cid:8600113799652829970,cond:1",BHFO,70.99,120.68,134.17,134.17,Y,,,$106.74,no,,,$181.74,,,,Y,none
